"Governo do Estado de Roraima"
"Secretaria de Fazenda de Roraima"
"SIAT - Sistema Integrado de Administração Tributária"
""
""
"Lista de Informações do Portal: Repasse Municipal"
"Data      01/01/2023"
"Data (até) 31/01/2023"
""
"Data              Município                                     ICMS         IPVA    FUNDEB - ICMS    FUNDEB - IPVA              Total"
""
"02/01/2023 BOA VISTA                                498.428,89   159.050,95       124.607,22        39.762,74      821.849,80"
"02/01/2023 SÃO LUIZ DO ANAUÁ                         23.769,58     1.103,79         5.942,39          275,95        31.091,71"
"02/01/2023 SÃO JOÃO DA BALIZA                        26.870,94      359,37          6.717,73            89,84       34.037,88"
"02/01/2023 RORAINÓPOLIS                              32.409,98     1.568,54         8.102,50          392,14        42.473,16"
"02/01/2023 PACARAIMA                                 38.161,45      151,61          9.540,36            37,90       47.891,32"
"02/01/2023 NORMANDIA                                 23.524,48         0,00         5.881,12             0,00       29.405,60"
"02/01/2023 MUCAJAÍ                                   25.735,57      580,34          6.433,89          145,09        32.894,89"
"02/01/2023 IRACEMA                                   24.256,64     1.482,78         6.064,16          370,70        32.174,28"
"02/01/2023 CAROEBE                                   25.039,78      164,37          6.259,94            41,09       31.505,18"
"02/01/2023 CARACARAÍ                                 52.100,13      102,07         13.025,03            25,52       65.252,75"
"02/01/2023 CANTÁ                                     25.499,68     1.199,44         6.374,92          299,86        33.373,90"
"02/01/2023 BONFIM                                    40.898,43      759,26         10.224,61          189,81        52.072,11"
"02/01/2023 AMAJARI                                   22.285,85         0,00         5.571,46             0,00       27.857,31"
"02/01/2023 ALTO ALEGRE                               41.198,38      316,36         10.299,60            79,09       51.893,43"
"02/01/2023 UIRAMUTÃ                                  20.187,05         0,00         5.046,76             0,00       25.233,81"
"06/01/2023 UIRAMUTÃ                                  29.797,28      214,23          7.449,32            53,56       37.514,39"
"06/01/2023 BOA VISTA                                750.831,72   620.155,69       187.707,93       155.038,92     1.713.734,26"
"06/01/2023 CAROEBE                                   35.517,82     2.072,38         8.879,45          518,09        46.987,74"
"06/01/2023 CARACARAÍ                                 66.719,93     4.583,72        16.679,98         1.145,93       89.129,56"
"06/01/2023 SÃO JOÃO DA BALIZA                        42.376,30     3.114,02        10.594,07          778,51        56.862,90"
"06/01/2023 NORMANDIA                                 33.854,90         0,00         8.463,73             0,00       42.318,63"
"06/01/2023 CANTÁ                                     37.444,52     1.519,46         9.361,13          379,86        48.704,97"
"06/01/2023 BONFIM                                    74.436,35     4.308,03        18.609,09         1.077,01       98.430,48"
"06/01/2023 SÃO LUIZ DO ANAUÁ                         39.578,28     2.745,62         9.894,57          686,41        52.904,88"
"06/01/2023 AMAJARI                                   34.640,66     1.284,63         8.660,16          321,16        44.906,61"
"06/01/2023 MUCAJAÍ                                   34.889,87     5.419,79         8.722,47         1.354,95       50.387,08"
"06/01/2023 ALTO ALEGRE                               60.437,73     1.368,01        15.109,43          342,00        77.257,17"
"06/01/2023 RORAINÓPOLIS                              51.192,93     7.718,41        12.798,23         1.929,60       73.639,17"
"06/01/2023 IRACEMA                                   34.263,01     1.500,11         8.565,75          375,03        44.703,90"
"06/01/2023 PACARAIMA                                 58.615,03     3.950,64        14.653,76          987,66        78.207,09"
""
""
""
""
"CETIF - CENTRO DE TECNOLOGIA DE INFORMAÇÃO FAZENDÁRIA                                                                  Página:   1 de 1"
"Data: 12/01/2023 | Hora: 20:21 | Usuário: ANONYMOUS USER"
""
